,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
1446,Monroe,Mississippi,37704,28.5,34.6,83.2,16.3,22.8490345851899,5.890621684701888,9.9,31.599999999999994,14.918841502227881,41.6
1448,Neshoba,Mississippi,29905,26.8,36.8,81.9,18.6,20.297609095468985,5.641197124226718,8.6,36.4,18.097308142451098,30.7
1451,Oktibbeha,Mississippi,41247,21.9,24.4,82.0,21.4,10.245593618929862,6.109535238926467,6.0,39.8,17.51642543700148,21.3
1453,Pearl River,Mississippi,52659,28.1,29.7,83.2,18.1,16.679010235667217,5.852750716876507,9.1,14.200000000000003,17.294289675079284,29.7
1455,Pike,Mississippi,39426,33.5,30.8,84.3,22.8,18.974788210825345,5.673920762948308,13.8,50.4,19.705270633592047,37.7
1456,Pontotoc,Mississippi,28208,29.4,42.9,82.7,13.2,21.773964832671584,5.842314237095859,11.1,15.299999999999997,13.75496313102666,30.0
1459,Rankin,Mississippi,131841,26.9,30.2,82.9,10.4,12.010679530646765,5.912424814738966,6.8,20.200000000000003,10.264636949052267,28.9
1462,Simpson,Mississippi,27944,27.6,32.7,84.4,19.7,20.197537933008874,5.747208703120527,11.1,35.400000000000006,18.27583738906384,32.0
1467,Tate,Mississippi,26548,27.6,29.4,89.5,15.0,17.64351363567877,5.733011902968208,8.6,31.200000000000003,13.274069609763448,27.6
1469,Tishomingo,Mississippi,19202,25.1,36.4,76.5,13.9,24.950525986876368,6.082699718779294,10.6,4.099999999999994,13.842308092906988,33.8
1473,Warren,Mississippi,49131,33.5,34.7,80.4,17.6,14.620097290916123,5.660377358490567,12.3,47.5,17.038122570271316,34.1
1474,Washington,Mississippi,59220,35.7,39.5,83.0,28.4,20.018574805808846,5.47112462006079,10.2,68.3,23.94967916244512,40.8
1481,Adair,Missouri,24509,20.5,23.8,80.6,15.9,8.27043127014566,6.7322208168427915,6.2,4.200000000000003,10.55122608021543,21.3
1482,Andrew,Missouri,16899,26.0,28.8,80.5,8.3,10.308302266406297,6.663116160719569,9.1,1.5,9.456180839102906,31.8
1490,Boone,Missouri,143326,19.8,21.7,78.1,11.7,6.361023122113224,6.608710213080669,3.7,14.099999999999994,9.728172139039671,18.6
